query_no,query,cardinality_predict,cardinality_true,latency_ms,generated_spn_calls,latency_generated_code
0,SELECT COUNT(*) FROM cast_info ci WHERE ci.person_id=172968;,1.0,838,1.4620000001741573,0,0.0
63,"SELECT COUNT(*) FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND t.production_year>2012 AND mi_idx.info_type_id>100;",14365.46790769139,12691,6.7646000024979,0,0.0
64,"SELECT COUNT(*) FROM title t,movie_info mi,movie_info_idx mi_idx WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.kind_id>4 AND t.production_year=2009 AND mi_idx.info_type_id>99;",96820.62037812806,131642,7.079900002281647,0,0.0
65,"SELECT COUNT(*) FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.kind_id=1 AND t.production_year=1993;",111451.00202579195,96943,4.030900003272109,0,0.0
66,"SELECT COUNT(*) FROM title t,movie_info mi WHERE t.id=mi.movie_id AND t.production_year=2007 AND mi.info_type_id=4;",54526.9498784762,52890,2.5217000002157874,0,0.0
67,"SELECT COUNT(*) FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.kind_id=7 AND t.production_year<1990 AND ci.role_id<3;",2317651.1197586283,2310810,4.494199994951487,0,0.0
68,"SELECT COUNT(*) FROM title t,cast_info ci,movie_info_idx mi_idx WHERE t.id=ci.movie_id AND t.id=mi_idx.movie_id AND ci.person_id=2420177;",1.1236749999999998,42,5.885999999009073,0,0.0
69,"SELECT COUNT(*) FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND t.kind_id=7 AND t.production_year<2008 AND ci.role_id=1 AND mk.keyword_id<73;",70484.49889402119,81344,28.086699996492825,0,0.0
70,SELECT COUNT(*) FROM movie_keyword mk WHERE mk.keyword_id<5374;,1631084.539248116,2370751,1.7015999983414076,0,0.0
71,"SELECT COUNT(*) FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.kind_id=7 AND mc.company_id>817 AND mc.company_type_id=1;",83241.69279230358,56946,5.447299998195376,0,0.0
72,"SELECT COUNT(*) FROM title t,movie_companies mc,cast_info ci WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND mc.company_type_id>1 AND ci.person_id<394300;",2803183.008930416,3671545,4.856700004893355,0,0.0
73,"SELECT COUNT(*) FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND mk.keyword_id>51095;",555828.3447426952,741932,3.547100001014769,0,0.0
74,"SELECT COUNT(*) FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.kind_id>4 AND t.production_year>1966;",445950.58502595243,662416,4.947000001266133,0,0.0
75,"SELECT COUNT(*) FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND t.production_year=1899 AND mk.keyword_id<398;",705.9269801473787,213,16.86350000090897,0,0.0
76,"SELECT COUNT(*) FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND t.production_year>2010 AND mi.info_type_id>3;",44909576.57565836,39982151,11.645900005532894,0,0.0
77,"SELECT COUNT(*) FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND t.kind_id>1 AND t.production_year=2007 AND mk.keyword_id=3256;",385.4655785369351,398,27.334799997333903,0,0.0
78,"SELECT COUNT(*) FROM title t,movie_companies mc,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND t.kind_id=1 AND t.production_year<1965 AND mc.company_id>1237;",2958541.0226008333,4198516,29.536599999119062,0,0.0
79,"SELECT COUNT(*) FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND t.production_year=1974 AND ci.person_id<3019402 AND ci.role_id>1 AND mi.info_type_id>3;",715071.0369162182,744542,14.044600000488572,0,0.0
80,SELECT COUNT(*) FROM movie_companies mc WHERE mc.company_id=32057 AND mc.company_type_id<2;,1.298108603887311,2,2.8401999952620827,0,0.0
81,SELECT COUNT(*) FROM cast_info ci WHERE ci.person_id<1931896 AND ci.role_id>1;,6477032.6184393605,6646317,1.6837999937706627,0,0.0
82,"SELECT COUNT(*) FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.kind_id>2 AND t.production_year<1965;",1242407.7245688483,843688,4.033199998957571,0,0.0
83,"SELECT COUNT(*) FROM title t,movie_companies mc,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND t.production_year=1996 AND mc.company_id<11695 AND mc.company_type_id=2;",74309.62010102221,49402,19.12799999990966,0,0.0
84,SELECT COUNT(*) FROM cast_info ci WHERE ci.person_id=90962 AND ci.role_id<10;,1.0,2,1.8405000009806827,0,0.0
85,SELECT COUNT(*) FROM cast_info ci WHERE ci.person_id=892909 AND ci.role_id<3;,1.0,1,1.8915999971795827,0,0.0
86,SELECT COUNT(*) FROM movie_keyword mk WHERE mk.keyword_id<39210;,2799469.2960590273,4072192,1.8396000014035963,0,0.0
87,"SELECT COUNT(*) FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND t.kind_id>1 AND t.production_year>2006;",52389830.67195029,47016857,25.56699999695411,0,0.0
88,"SELECT COUNT(*) FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.production_year=1998 AND mk.keyword_id>16264;",13843.938971755868,20114,3.4511999983806163,0,0.0
89,SELECT COUNT(*) FROM movie_companies mc WHERE mc.company_id>4434 AND mc.company_type_id=2;,655004.4562137956,1042283,2.660400001332164,0,0.0
90,"SELECT COUNT(*) FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.kind_id=7 AND mk.keyword_id=527;",101.6410766733896,59,4.6249000006355345,0,0.0
91,"SELECT COUNT(*) FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id<511906 AND ci.role_id>10;",21714.944522133705,20754,1.7116000017267652,0,0.0
92,SELECT COUNT(*) FROM movie_keyword mk WHERE mk.keyword_id<1007;,708123.9685645765,1029245,1.5998000017134473,0,0.0
93,SELECT COUNT(*) FROM movie_companies mc WHERE mc.company_id<69853;,1298860.488716405,2016503,2.3639999999431893,0,0.0
94,SELECT COUNT(*) FROM movie_keyword mk WHERE mk.keyword_id=88122;,5.504026493713225,8,1.7201000009663403,0,0.0
95,"SELECT COUNT(*) FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.kind_id=7 AND t.production_year=1962 AND ci.person_id<1154998 AND ci.role_id=10;",1119.089938757941,483,5.176999999093823,0,0.0
96,"SELECT COUNT(*) FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id<2279717;",22148398.264248606,22363041,1.2054999970132485,0,0.0
97,SELECT COUNT(*) FROM movie_companies mc WHERE mc.company_id<43106;,1219195.8945082284,1892838,2.2470000039902516,0,0.0
98,"SELECT COUNT(*) FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND mc.company_id=14267;",361.39439090120186,561,2.267700001539197,0,0.0
99,"SELECT COUNT(*) FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND ci.person_id>1144755 AND ci.role_id=3;",33130958.107233085,28177721,6.758400006219745,0,0.0
100,"SELECT COUNT(*) FROM title t,movie_companies mc,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND t.kind_id=1 AND t.production_year>1980 AND mk.keyword_id>13634;",4558591.136624457,6081642,30.208600001060404,0,0.0
101,"SELECT COUNT(*) FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND ci.person_id<492499 AND ci.role_id=2;",5261.301818106259,7261,7.012599999143276,0,0.0
102,"SELECT COUNT(*) FROM title t,movie_companies mc,cast_info ci WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND mc.company_id<145 AND mc.company_type_id<2;",3247026.969588203,5995389,8.399800004553981,0,0.0
103,"SELECT COUNT(*) FROM title t,movie_companies mc,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND mc.company_id>87517 AND mk.keyword_id=9182;",17.29081690609325,19,8.556699998734985,0,0.0
104,"SELECT COUNT(*) FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id<2626616 AND ci.role_id<10;",24120560.87600538,24382536,1.7516000007162802,0,0.0
105,"SELECT COUNT(*) FROM title t,movie_companies mc,movie_info mi WHERE t.id=mc.movie_id AND t.id=mi.movie_id AND t.kind_id<7 AND mc.company_id<11379;",19359702.166272502,33128308,17.953599999600556,0,0.0
106,"SELECT COUNT(*) FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.kind_id=7 AND t.production_year<1987 AND mk.keyword_id=2651;",10.3165795721666,2,6.243999996513594,0,0.0
107,SELECT COUNT(*) FROM cast_info ci WHERE ci.person_id<814499 AND ci.role_id>1;,2324396.5843100506,2314071,1.9265000009909272,0,0.0
108,SELECT COUNT(*) FROM cast_info ci WHERE ci.person_id>1259307 AND ci.role_id>1;,19771044.35111267,20032173,1.829699998779688,0,0.0
109,"SELECT COUNT(*) FROM title t,movie_companies mc,cast_info ci WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND t.production_year<2010 AND mc.company_id>33938 AND ci.person_id<1550792;",4378243.899990553,6694220,17.5020000024233,0,0.0
110,SELECT COUNT(*) FROM movie_keyword mk WHERE mk.keyword_id>10116;,1068391.0434902222,1556102,1.938400004291907,0,0.0
111,SELECT COUNT(*) FROM cast_info ci WHERE ci.person_id<1123232;,11375914.391551133,11429999,1.3399999952525832,0,0.0
112,"SELECT COUNT(*) FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.kind_id=7 AND t.production_year=2002 AND mk.keyword_id>870;",10309.815155148384,12698,5.936599998676684,0,0.0
113,"SELECT COUNT(*) FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND mc.company_id>512 AND mc.company_type_id>1;",749217.6511065398,1194165,2.9357000021263957,0,0.0
114,"SELECT COUNT(*) FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND t.kind_id<7 AND t.production_year>1970;",300695606.3871757,314536973,21.042199994553812,0,0.0
115,"SELECT COUNT(*) FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND mk.keyword_id<2697;",79008679.14420928,81818979,1.149499999883119,0,0.0
116,"SELECT COUNT(*) FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id=625934 AND ci.role_id<2;",1.0,922,1.8338999943807721,0,0.0
117,SELECT COUNT(*) FROM movie_companies mc WHERE mc.company_id>112526;,130844.73960617525,203113,2.183700002206024,0,0.0
118,"SELECT COUNT(*) FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.kind_id=1 AND mk.keyword_id<1002;",455324.67475177004,624234,4.796600005647633,0,0.0
119,"SELECT COUNT(*) FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id<3322691 AND ci.role_id=4;",2710456.6083443537,2728943,1.887699996586889,0,0.0
120,SELECT COUNT(*) FROM cast_info ci WHERE ci.person_id<770925 AND ci.role_id<10;,7532551.372656554,7567967,1.70310000248719,0,0.0
121,SELECT COUNT(*) FROM movie_keyword mk WHERE mk.keyword_id=6123;,102.51249344531792,149,1.8290000007255003,0,0.0
122,"SELECT COUNT(*) FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.kind_id<7 AND mi.info_type_id>16 AND mk.keyword_id<11728;",54550015.46578847,56848525,4.1009999986272305,0,0.0
123,"SELECT COUNT(*) FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND ci.person_id<2566764 AND ci.role_id=1 AND mk.keyword_id<2849;",30016934.48751838,29586445,7.647500002349261,0,0.0
124,"SELECT COUNT(*) FROM title t,cast_info ci,movie_info_idx mi_idx WHERE t.id=ci.movie_id AND t.id=mi_idx.movie_id AND t.kind_id>1 AND t.production_year<2009 AND ci.person_id>1835252 AND ci.role_id<10 AND mi_idx.info_type_id=99;",700145.2861419518,1879167,31.404200002725702,0,0.0
125,SELECT COUNT(*) FROM cast_info ci WHERE ci.person_id>3150139;,5128835.635276815,5157644,1.2816000016755424,0,0.0
126,SELECT COUNT(*) FROM cast_info ci WHERE ci.person_id=1128359;,1.0,33,1.253900001756847,0,0.0
127,"SELECT COUNT(*) FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND ci.person_id>2289369 AND ci.role_id>1;",177409405.18715268,177494679,6.4648999978089705,0,0.0
128,SELECT COUNT(*) FROM movie_keyword mk WHERE mk.keyword_id=18692;,244.2411756582978,355,1.864599995315075,0,0.0
129,"SELECT COUNT(*) FROM title t,movie_info mi,movie_info_idx mi_idx WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.production_year=1993 AND mi.info_type_id>16;",58517.1560067055,86532,4.029099996841978,0,0.0
130,SELECT COUNT(*) FROM movie_keyword mk WHERE mk.keyword_id>2231;,2055337.2981697195,2990610,1.8836000017472543,0,0.0
131,SELECT COUNT(*) FROM movie_companies mc WHERE mc.company_id=14805;,49.60315169232174,77,2.429700005450286,0,0.0
132,"SELECT COUNT(*) FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.production_year>2008 AND mi.info_type_id>16;",10678531.121903334,10169372,4.572100006043911,0,0.0
133,"SELECT COUNT(*) FROM title t,movie_companies mc,movie_info mi WHERE t.id=mc.movie_id AND t.id=mi.movie_id AND t.production_year>2005 AND mc.company_type_id<2 AND mi.info_type_id<7;",2893743.1247224123,2848793,13.646899999002926,0,0.0
134,"SELECT COUNT(*) FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.kind_id=7 AND ci.person_id<1139092;",6606694.2520489795,6639277,3.954899999371264,0,0.0
135,SELECT COUNT(*) FROM movie_companies mc WHERE mc.company_id<19691 AND mc.company_type_id=2;,350877.3711882518,544532,2.6870000001508743,0,0.0
136,"SELECT COUNT(*) FROM title t,movie_info mi WHERE t.id=mi.movie_id AND t.kind_id>1 AND t.production_year=1996;",98459.83770321314,120023,3.8735999987693503,0,0.0
137,"SELECT COUNT(*) FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.kind_id<7 AND t.production_year=2011 AND mi.info_type_id>18;",1849152.747747115,1346178,6.336999998893589,0,0.0
138,"SELECT COUNT(*) FROM title t,movie_companies mc,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND t.production_year>1998;",11323244.51265428,18332497,13.42809999914607,0,0.0
139,SELECT COUNT(*) FROM movie_companies mc WHERE mc.company_id=14074;,100.49469693509378,156,2.5330999997095205,0,0.0
