query_no,query,cardinality_predict,cardinality_true,latency_ms,generated_spn_calls,latency_generated_code
0,"SELECT COUNT(*) FROM orders o,lineitem l WHERE o.o_orderkey=l.l_orderkey AND l.l_discount<0.06;",3274125.9999999995,3274126,0.5507999994733837,0,0.0
91,"SELECT COUNT(*) FROM partsupp ps,lineitem l WHERE ps.ps_id=l.l_ps_id AND ps.ps_supplycost>286.6 AND l.l_extendedprice>48524.52;",1442586.1176815042,1441636,1.6365999999834457,0,0.0
92,"SELECT COUNT(*) FROM nation n,customer c WHERE n.n_nationkey=c.c_nationkey AND n.n_regionkey<1;",29763.999999999938,29764,1.924199999848497,0,0.0
93,"SELECT COUNT(*) FROM customer c,orders o WHERE c.c_custkey=o.o_custkey AND c.c_acctbal=9797.85 AND o.o_totalprice<273614.08 AND c.c_nationkey<24;",1.0,0,2.369100000578328,0,0.0
94,"SELECT COUNT(*) FROM nation n,region r WHERE r.r_regionkey=n.n_regionkey;",25.0,25,0.4331999998612446,0,0.0
95,"SELECT COUNT(*) FROM region r,nation n WHERE r.r_regionkey=n.n_regionkey;",25.0,25,0.42889999986073235,0,0.0
96,"SELECT COUNT(*) FROM orders o,lineitem l WHERE o.o_orderkey=l.l_orderkey;",6001215.0,6001215,0.3235000003769528,0,0.0
97,"SELECT COUNT(*) FROM nation n,region r WHERE r.r_regionkey=n.n_regionkey;",25.0,25,0.2961000000141212,0,0.0
98,"SELECT COUNT(*) FROM region r,nation n WHERE r.r_regionkey=n.n_regionkey AND n.n_regionkey>0;",20.000000000000004,20,0.8874000004652771,0,0.0
99,"SELECT COUNT(*) FROM lineitem l,partsupp ps WHERE ps.ps_id=l.l_ps_id AND l.l_partkey=198857 AND l.l_orderkey>4874466;",1.0,3,4.268299999239389,0,0.0
100,"SELECT COUNT(*) FROM region r,nation n WHERE r.r_regionkey=n.n_regionkey AND n.n_regionkey<3;",14.999999999999993,15,0.9178000000247266,0,0.0
101,"SELECT COUNT(*) FROM lineitem l,orders o WHERE o.o_orderkey=l.l_orderkey AND o.o_totalprice<168205.16;",2437036.9999998803,2437037,0.8373000000574393,0,0.0
102,"SELECT COUNT(*) FROM supplier s,partsupp ps WHERE s.s_suppkey=ps.ps_suppkey AND ps.ps_supplycost=338.78 AND ps.ps_partkey<45086 AND s.s_acctbal<3689.03;",0.42609999999996956,0,1.0738000000856118,0,0.0
103,"SELECT COUNT(*) FROM customer c,orders o WHERE c.c_custkey=o.o_custkey;",1492928.7820055387,1500000,0.457500000266009,0,0.0
104,"SELECT COUNT(*) FROM lineitem l,partsupp ps WHERE ps.ps_id=l.l_ps_id AND l.l_linenumber=6 AND ps.ps_availqty<119 AND l.l_suppkey<3080 AND ps.ps_partkey>145604 AND l.l_tax>0.02;",286.2645309423474,259,6.811000000197964,0,0.0
105,"SELECT COUNT(*) FROM region r,nation n WHERE r.r_regionkey=n.n_regionkey;",25.0,25,0.3675999996630708,0,0.0
106,"SELECT COUNT(*) FROM lineitem l,partsupp ps WHERE ps.ps_id=l.l_ps_id AND l.l_linenumber<1 AND ps.ps_availqty=197;",1.0,0,2.1149999993212987,0,0.0
107,"SELECT COUNT(*) FROM part p,partsupp ps WHERE p.p_partkey=ps.ps_partkey;",800000.0,800000,0.3488000002107583,0,0.0
108,"SELECT COUNT(*) FROM supplier s,partsupp ps WHERE s.s_suppkey=ps.ps_suppkey AND ps.ps_partkey>78931 AND s.s_nationkey<3 AND ps.ps_availqty=375 AND s.s_acctbal<434.04;",0.8946893894831418,0,0.9918000005200156,0,0.0
109,"SELECT COUNT(*) FROM region r,nation n WHERE r.r_regionkey=n.n_regionkey AND n.n_regionkey>1;",15.000000000000004,15,0.8576999998695101,0,0.0
110,"SELECT COUNT(*) FROM part p,partsupp ps WHERE p.p_partkey=ps.ps_partkey AND ps.ps_supplycost<189.95;",150977.9999999962,150978,0.5483000004460337,0,0.0
111,"SELECT COUNT(*) FROM part p,partsupp ps WHERE p.p_partkey=ps.ps_partkey AND ps.ps_availqty<8357 AND ps.ps_suppkey=523 AND p.p_size<16 AND ps.ps_supplycost=359.01;",0.302565,0,0.9976000001188368,0,0.0
112,"SELECT COUNT(*) FROM partsupp ps,part p WHERE p.p_partkey=ps.ps_partkey AND ps.ps_availqty=9774 AND ps.ps_supplycost=852.73 AND p.p_retailprice<1336.39 AND ps.ps_suppkey<4417;",0.33726499999997195,0,1.0389999997642008,0,0.0
113,"SELECT COUNT(*) FROM region r,nation n WHERE r.r_regionkey=n.n_regionkey;",25.0,25,0.3119000002698158,0,0.0
114,"SELECT COUNT(*) FROM nation n,region r WHERE r.r_regionkey=n.n_regionkey AND n.n_regionkey=1;",5.0,5,0.8547999996153521,0,0.0
115,"SELECT COUNT(*) FROM region r,nation n WHERE r.r_regionkey=n.n_regionkey AND n.n_regionkey<3;",14.999999999999993,15,0.26340000022173626,0,0.0
116,"SELECT COUNT(*) FROM region r,nation n WHERE r.r_regionkey=n.n_regionkey AND n.n_regionkey<1;",4.99999999999999,5,0.25130000085482607,0,0.0
117,"SELECT COUNT(*) FROM orders o,customer c WHERE c.c_custkey=o.o_custkey AND c.c_acctbal=5445.17;",1.0,21,1.6671000003043446,0,0.0
118,"SELECT COUNT(*) FROM part p,partsupp ps WHERE p.p_partkey=ps.ps_partkey AND ps.ps_suppkey=3384 AND ps.ps_availqty<4384 AND p.p_retailprice>1939.89 AND p.p_size<1 AND ps.ps_supplycost>329.59;",0.000117580121689306,0,1.1248999999224907,0,0.0
119,"SELECT COUNT(*) FROM lineitem l,orders o WHERE o.o_orderkey=l.l_orderkey AND o.o_custkey<122452 AND l.l_partkey<67919 AND l.l_discount>0.08;",302221.2393947123,301386,0.6073000004107598,0,0.0
120,"SELECT COUNT(*) FROM orders o,customer c WHERE c.c_custkey=o.o_custkey AND o.o_totalprice<140689.01;",714275.7161145177,729366,2.2441999999500695,0,0.0
121,"SELECT COUNT(*) FROM lineitem l,partsupp ps WHERE ps.ps_id=l.l_ps_id AND l.l_extendedprice>7800.56 AND l.l_discount=0.05;",492933.16123085667,492492,1.705299999230192,0,0.0
122,"SELECT COUNT(*) FROM lineitem l,partsupp ps WHERE ps.ps_id=l.l_ps_id AND l.l_extendedprice<34404.75;",2809083.6443214496,2806537,1.6008000002329936,0,0.0
123,"SELECT COUNT(*) FROM lineitem l,orders o WHERE o.o_orderkey=l.l_orderkey AND l.l_suppkey>4801 AND l.l_extendedprice<1635.69 AND l.l_tax=0.07 AND o.o_totalprice>137462.83 AND l.l_linenumber>2;",2002.3588236261642,1668,3.3141999992949422,0,0.0
124,"SELECT COUNT(*) FROM region r,nation n WHERE r.r_regionkey=n.n_regionkey;",25.0,25,0.3212000001440174,0,0.0
125,"SELECT COUNT(*) FROM orders o,lineitem l WHERE o.o_orderkey=l.l_orderkey AND l.l_discount<0.04 AND l.l_linenumber=5;",233914.60967095938,233436,2.2607000000789412,0,0.0
126,"SELECT COUNT(*) FROM customer c,orders o WHERE c.c_custkey=o.o_custkey;",1492928.7820055387,1500000,0.23770000007061753,0,0.0
127,"SELECT COUNT(*) FROM region r,nation n WHERE r.r_regionkey=n.n_regionkey AND n.n_regionkey<1;",4.99999999999999,5,0.2660000000105356,0,0.0
128,"SELECT COUNT(*) FROM part p,partsupp ps WHERE p.p_partkey=ps.ps_partkey AND p.p_size<5 AND ps.ps_suppkey=5550;",6.483599999996535,6,0.8144000003085239,0,0.0
129,"SELECT COUNT(*) FROM part p,partsupp ps WHERE p.p_partkey=ps.ps_partkey AND ps.ps_suppkey>6207 AND p.p_size<26 AND ps.ps_availqty>4071 AND p.p_retailprice=1137.09 AND ps.ps_supplycost<539.78;",2.4365802148915283,4,1.1963000006289803,0,0.0
130,"SELECT COUNT(*) FROM customer c,nation n WHERE n.n_nationkey=c.c_nationkey AND n.n_regionkey>1;",90284.00000000003,90284,1.3894000003347173,0,0.0
131,"SELECT COUNT(*) FROM part p,partsupp ps WHERE p.p_partkey=ps.ps_partkey AND p.p_retailprice=1842.74 AND ps.ps_suppkey=5877 AND p.p_size=50;",0.0003999999999997862,0,0.8655000001454027,0,0.0
132,"SELECT COUNT(*) FROM partsupp ps,supplier s WHERE s.s_suppkey=ps.ps_suppkey AND s.s_acctbal=-704.56 AND ps.ps_availqty=8837 AND ps.ps_supplycost<680.94 AND ps.ps_partkey<144918;",0.004546541321429741,0,0.9036000001287903,0,0.0
133,"SELECT COUNT(*) FROM partsupp ps,supplier s WHERE s.s_suppkey=ps.ps_suppkey;",800000.0,800000,0.7592000001750421,0,0.0
134,"SELECT COUNT(*) FROM part p,partsupp ps WHERE p.p_partkey=ps.ps_partkey AND p.p_size<4 AND p.p_retailprice<1720.70 AND ps.ps_suppkey=1522 AND ps.ps_availqty>5702;",1.5133779943615389,0,1.2475000003178138,0,0.0
135,"SELECT COUNT(*) FROM nation n,customer c WHERE n.n_nationkey=c.c_nationkey AND n.n_regionkey<2;",59715.99999999994,59716,2.272699999593897,0,0.0
136,"SELECT COUNT(*) FROM region r,nation n WHERE r.r_regionkey=n.n_regionkey AND n.n_regionkey>1;",15.000000000000004,15,0.3656999997474486,0,0.0
137,"SELECT COUNT(*) FROM part p,partsupp ps WHERE p.p_partkey=ps.ps_partkey AND ps.ps_suppkey=4325 AND ps.ps_availqty=9115 AND ps.ps_supplycost=73.43 AND p.p_retailprice>1237.20;",0.7621399999999218,0,1.0811000001922366,0,0.0
138,"SELECT COUNT(*) FROM customer c,orders o WHERE c.c_custkey=o.o_custkey AND c.c_nationkey<4;",239025.3166148511,239786,1.6514000008100993,0,0.0
139,"SELECT COUNT(*) FROM orders o,lineitem l WHERE o.o_orderkey=l.l_orderkey AND l.l_linenumber>6 AND l.l_suppkey>774 AND l.l_discount=0.09;",17993.48546263717,18017,2.0835000004808535,0,0.0
140,"SELECT COUNT(*) FROM lineitem l,orders o WHERE o.o_orderkey=l.l_orderkey AND o.o_custkey>4346;",5828305.9999978645,5828306,0.6149999999252032,0,0.0
141,"SELECT COUNT(*) FROM orders o,customer c WHERE c.c_custkey=o.o_custkey AND o.o_totalprice<270023.89 AND c.c_acctbal<4557.47 AND c.c_nationkey=21;",27132.515618951795,27060,2.624900000228081,0,0.0
142,"SELECT COUNT(*) FROM supplier s,partsupp ps WHERE s.s_suppkey=ps.ps_suppkey AND s.s_nationkey=7;",31680.00000000002,31680,0.6566000001839711,0,0.0
143,"SELECT COUNT(*) FROM customer c,orders o WHERE c.c_custkey=o.o_custkey AND c.c_acctbal<6955.05 AND o.o_totalprice>187080.69 AND c.c_nationkey>12;",178608.16347101444,179302,2.692199999728473,0,0.0
144,"SELECT COUNT(*) FROM partsupp ps,lineitem l WHERE ps.ps_id=l.l_ps_id AND l.l_linenumber<3 AND l.l_orderkey>4831136 AND ps.ps_supplycost>330.37 AND l.l_discount>0.06 AND l.l_quantity<44.0;",113674.64542205594,113869,3.315199999633478,0,0.0
145,"SELECT COUNT(*) FROM orders o,lineitem l WHERE o.o_orderkey=l.l_orderkey AND l.l_discount<0.09;",4910090.999999999,4910091,0.5034000005252892,0,0.0
146,"SELECT COUNT(*) FROM nation n,region r WHERE r.r_regionkey=n.n_regionkey AND n.n_regionkey=4;",5.0000000000000036,5,0.9570000001986045,0,0.0
147,"SELECT COUNT(*) FROM customer c,nation n WHERE n.n_nationkey=c.c_nationkey AND c.c_nationkey=21;",6007.999999999994,6008,0.6198999999469379,0,0.0
148,"SELECT COUNT(*) FROM region r,nation n WHERE r.r_regionkey=n.n_regionkey AND n.n_regionkey>3;",5.0000000000000036,5,0.9692000003269641,0,0.0
